연도,시도별,차종별,폐차,전체 말소
2021,서울,승용,57470,97104
2021,서울,승합,3117,5353
2021,서울,화물,6388,12598
2021,서울,특수,102,250
2021,서울,계,67077,115305
2021,부산,승용,28054,45733
2021,부산,승합,1552,2767
2021,부산,화물,5215,8267
2021,부산,특수,522,636
2021,부산,계,35343,57403
2021,대구,승용,32137,48268
2021,대구,승합,1725,2436
2021,대구,화물,7253,9825
2021,대구,특수,101,130
2021,대구,계,41216,60659
2021,인천,승용,25974,57798
2021,인천,승합,1421,2946
2021,인천,화물,4411,8202
2021,인천,특수,382,533
2021,인천,계,32188,69479
2021,광주,승용,18740,27104
2021,광주,승합,1077,1454
2021,광주,화물,4080,5710
2021,광주,특수,50,114
2021,광주,계,23947,34382
2021,대전,승용,18950,28390
2021,대전,승합,966,1549
2021,대전,화물,3851,5369
2021,대전,특수,34,86
2021,대전,계,23801,35394
2021,울산,승용,13440,19080
2021,울산,승합,567,867
2021,울산,화물,2890,3751
2021,울산,특수,83,120
2021,울산,계,16980,23818
2021,세종,승용,4591,6316
2021,세종,승합,196,249
2021,세종,화물,948,1184
2021,세종,특수,13,15
2021,세종,계,5748,7764
2021,경기,승용,135667,261223
2021,경기,승합,7509,13408
2021,경기,화물,23330,40073
2021,경기,특수,391,786
2021,경기,계,166897,315490
2021,강원,승용,24685,33375
2021,강원,승합,1673,2204
2021,강원,화물,8980,10770
2021,강원,특수,100,157
2021,강원,계,35438,46506
2021,충북,승용,24705,34727
2021,충북,승합,1410,2036
2021,충북,화물,9553,12005
2021,충북,특수,153,248
2021,충북,계,35821,49016
2021,충남,승용,34497,48269
2021,충남,승합,2121,2968
2021,충남,화물,13501,16798
2021,충남,특수,183,244
2021,충남,계,50302,68279
2021,전북,승용,27157,37455
2021,전북,승합,1584,2166
2021,전북,화물,9501,11591
2021,전북,특수,134,213
2021,전북,계,38376,51425
2021,전남,승용,29696,40784
2021,전남,승합,2088,2858
2021,전남,화물,14071,16659
2021,전남,특수,271,390
2021,전남,계,46126,60691
2021,경북,승용,45951,59700
2021,경북,승합,2716,3549
2021,경북,화물,19658,23530
2021,경북,특수,279,402
2021,경북,계,68604,87181
2021,경남,승용,45889,67513
2021,경남,승합,2687,4004
2021,경남,화물,14701,19299
2021,경남,특수,305,465
2021,경남,계,63582,91281
2021,제주,승용,9831,13967
2021,제주,승합,616,960
2021,제주,화물,4441,5195
2021,제주,특수,45,62
2021,제주,계,14933,20184
2021,총계,승용,577434,926806
2021,총계,승합,33025,51774
2021,총계,화물,152772,210826
2021,총계,특수,3148,4851
2021,총계,계,766379,1194257
2022,서울,승용,58090,98801
2022,서울,승합,2509,5124
2022,서울,화물,5271,10600
2022,서울,특수,104,241
2022,서울,계,65974,114766
2022,부산,승용,27142,44175
2022,부산,승합,1464,2638
2022,부산,화물,5104,8144
2022,부산,특수,560,611
2022,부산,계,34270,55568
2022,대구,승용,25237,42873
2022,대구,승합,1014,1681
2022,대구,화물,4570,6616
2022,대구,특수,88,106
2022,대구,계,30909,51276
2022,인천,승용,26757,57141
2022,인천,승합,1262,2669
2022,인천,화물,3751,7456
2022,인천,특수,311,442
2022,인천,계,32081,67708
2022,광주,승용,15418,23619
2022,광주,승합,768,1251
2022,광주,화물,2981,4279
2022,광주,특수,69,150
2022,광주,계,19236,29299
2022,대전,승용,16029,24870
2022,대전,승합,734,1218
2022,대전,화물,2494,3866
2022,대전,특수,54,96
2022,대전,계,19311,30050
2022,울산,승용,12528,17644
2022,울산,승합,540,839
2022,울산,화물,2394,3032
2022,울산,특수,101,122
2022,울산,계,15563,21637
2022,세종,승용,3841,5688
2022,세종,승합,188,262
2022,세종,화물,582,798
2022,세종,특수,8,11
2022,세종,계,4619,6759
2022,경기,승용,129715,269153
2022,경기,승합,5551,11707
2022,경기,화물,16447,32551
2022,경기,특수,337,686
2022,경기,계,152050,314097
2022,강원,승용,21417,28803
2022,강원,승합,1218,1787
2022,강원,화물,6823,8392
2022,강원,특수,122,179
2022,강원,계,29580,39161
2022,충북,승용,20583,29479
2022,충북,승합,889,1460
2022,충북,화물,5334,7371
2022,충북,특수,119,212
2022,충북,계,26925,38522
2022,충남,승용,29484,41518
2022,충남,승합,1623,2465
2022,충남,화물,8439,11179
2022,충남,특수,128,200
2022,충남,계,39674,55362
2022,전북,승용,23298,32413
2022,전북,승합,1282,1820
2022,전북,화물,6923,8649
2022,전북,특수,134,199
2022,전북,계,31637,43081
2022,전남,승용,25407,38335
2022,전남,승합,1722,2583
2022,전남,화물,10385,12341
2022,전남,특수,304,401
2022,전남,계,37818,53660
2022,경북,승용,44858,56328
2022,경북,승합,2156,2933
2022,경북,화물,14278,17075
2022,경북,특수,286,399
2022,경북,계,61578,76735
2022,경남,승용,40641,61320
2022,경남,승합,2227,3324
2022,경남,화물,11629,15272
2022,경남,특수,335,444
2022,경남,계,54832,80360
2022,제주,승용,9055,13445
2022,제주,승합,550,842
2022,제주,화물,3308,4030
2022,제주,특수,38,55
2022,제주,계,12951,18372
2022,총계,승용,529500,885605
2022,총계,승합,25697,44603
2022,총계,화물,110713,161651
2022,총계,특수,3098,4554
2022,총계,계,669008,1096413
2023,서울,승용,60311,115597
2023,서울,승합,3722,6259
2023,서울,화물,8180,14448
2023,서울,특수,143,449
2023,서울,계,72356,136753
2023,부산,승용,26713,50809
2023,부산,승합,1403,2470
2023,부산,화물,5967,9062
2023,부산,특수,488,529
2023,부산,계,34571,62870
2023,대구,승용,24842,49194
2023,대구,승합,907,1637
2023,대구,화물,4592,7311
2023,대구,특수,82,100
2023,대구,계,30423,58242
2023,인천,승용,27872,70374
2023,인천,승합,1901,3479
2023,인천,화물,5289,9669
2023,인천,특수,229,343
2023,인천,계,35291,83865
2023,광주,승용,16274,28626
2023,광주,승합,777,1261
2023,광주,화물,3086,4507
2023,광주,특수,60,118
2023,광주,계,20197,34512
2023,대전,승용,16473,29444
2023,대전,승합,809,1278
2023,대전,화물,2777,4462
2023,대전,특수,54,125
2023,대전,계,20113,35309
2023,울산,승용,13297,21206
2023,울산,승합,593,916
2023,울산,화물,2689,3543
2023,울산,특수,90,133
2023,울산,계,16669,25798
2023,세종,승용,3986,12654
2023,세종,승합,134,301
2023,세종,화물,546,932
2023,세종,특수,11,13
2023,세종,계,4677,13900
2023,경기,승용,137725,329374
2023,경기,승합,9226,16147
2023,경기,화물,25517,45552
2023,경기,특수,335,735
2023,경기,계,172803,391808
2023,충북,승용,22387,35236
2023,충북,승합,1249,1891
2023,충북,화물,6216,8293
2023,충북,특수,111,201
2023,충북,계,29963,45621
2023,충남,승용,32235,49399
2023,충남,승합,2053,2905
2023,충남,화물,10008,12558
2023,충남,특수,148,198
2023,충남,계,44444,65060
2023,전북,승용,26261,39670
2023,전북,승합,1864,2448
2023,전북,화물,9003,10768
2023,전북,특수,135,194
2023,전북,계,37263,53080
2023,전남,승용,26751,51054
2023,전남,승합,1784,2964
2023,전남,화물,10543,12478
2023,전남,특수,280,394
2023,전남,계,39358,66890
2023,경북,승용,40058,56613
2023,경북,승합,2224,3117
2023,경북,화물,14664,17663
2023,경북,특수,282,384
2023,경북,계,57228,77777
2023,경남,승용,43976,71018
2023,경남,승합,2477,3690
2023,경남,화물,12438,16294
2023,경남,특수,341,440
2023,경남,계,59232,91442
2023,제주,승용,9296,16242
2023,제주,승합,520,847
2023,제주,화물,3346,4039
2023,제주,특수,33,42
2023,제주,계,13195,21170
2023,강원,승용,23344,33762
2023,강원,승합,1644,2183
2023,강원,화물,8583,10142
2023,강원,특수,89,126
2023,강원,계,33660,46213
2023,총계,승용,551801,1060272
2023,총계,승합,33287,53793
2023,총계,화물,133444,191721
2023,총계,특수,2911,4524
2023,총계,계,721443,1310310
2024,서울,승용,58825,116397
2024,서울,승합,3338,6348
2024,서울,화물,7127,13828
2024,서울,특수,115,296
2024,서울,계,69405,136869
2024,부산,승용,26855,51765
2024,부산,승합,1244,2481
2024,부산,화물,5363,8321
2024,부산,특수,488,568
2024,부산,계,33950,63135
2024,대구,승용,24849,48654
2024,대구,승합,859,1562
2024,대구,화물,3703,6471
2024,대구,특수,43,75
2024,대구,계,29454,56762
2024,인천,승용,29131,74564
2024,인천,승합,1816,3442
2024,인천,화물,5178,10364
2024,인천,특수,145,272
2024,인천,계,36270,88642
2024,광주,승용,15577,28453
2024,광주,승합,710,1228
2024,광주,화물,2823,4367
2024,광주,특수,39,101
2024,광주,계,19149,34149
2024,대전,승용,16321,28823
2024,대전,승합,781,1205
2024,대전,화물,2650,4417
2024,대전,특수,46,107
2024,대전,계,19798,34552
2024,울산,승용,12613,19779
2024,울산,승합,512,829
2024,울산,화물,2400,3186
2024,울산,특수,79,101
2024,울산,계,15604,23895
2024,세종,승용,4503,14362
2024,세종,승합,216,378
2024,세종,화물,607,1069
2024,세종,특수,9,13
2024,세종,계,5335,15822
2024,경기,승용,140567,333125
2024,경기,승합,8205,15540
2024,경기,화물,22241,44501
2024,경기,특수,259,670
2024,경기,계,171272,393836
2024,충북,승용,22969,34654
2024,충북,승합,1266,1945
2024,충북,화물,5652,7597
2024,충북,특수,85,169
2024,충북,계,29972,44365
2024,충남,승용,33302,48942
2024,충남,승합,1841,2752
2024,충남,화물,8746,11555
2024,충남,특수,121,179
2024,충남,계,44010,63428
2024,전남,승용,26747,46644
2024,전남,승합,1659,3271
2024,전남,화물,9590,11748
2024,전남,특수,235,356
2024,전남,계,38231,62019
2024,경북,승용,40364,55340
2024,경북,승합,2205,3091
2024,경북,화물,12315,15365
2024,경북,특수,233,346
2024,경북,계,55117,74142
2024,경남,승용,44932,70343
2024,경남,승합,2187,3470
2024,경남,화물,11003,15005
2024,경남,특수,246,359
2024,경남,계,58368,89177
2024,제주,승용,9586,15177
2024,제주,승합,519,959
2024,제주,화물,2958,3666
2024,제주,특수,39,56
2024,제주,계,13102,19858
2024,강원,승용,22665,31778
2024,강원,승합,1324,1869
2024,강원,화물,6908,8545
2024,강원,특수,75,122
2024,강원,계,30972,42314
2024,전북,승용,26487,38761
2024,전북,승합,1504,2206
2024,전북,화물,7075,9124
2024,전북,특수,81,154
2024,전북,계,35147,50245
2024,총계,승용,556293,1057561
2024,총계,승합,30186,52576
2024,총계,화물,116339,179129
2024,총계,특수,2338,3944
2024,총계,계,705156,1293210
2025,서울,승용,45864,108805
2025,서울,승합,2433,4764
2025,서울,화물,5047,11169
2025,서울,특수,103,262
2025,서울,계,53447,125000
2025,부산,승용,21812,54126
2025,부산,승합,1086,2253
2025,부산,화물,3794,7101
2025,부산,특수,334,408
2025,부산,계,27026,63888
2025,대구,승용,19958,48304
2025,대구,승합,689,1587
2025,대구,화물,2794,5961
2025,대구,특수,44,93
2025,대구,계,23485,55945
2025,인천,승용,24562,73152
2025,인천,승합,1636,3254
2025,인천,화물,4035,9744
2025,인천,특수,163,365
2025,인천,계,30396,86515
2025,광주,승용,13348,28753
2025,광주,승합,617,1228
2025,광주,화물,1978,3932
2025,광주,특수,47,126
2025,광주,계,15990,34039
2025,대전,승용,13456,28109
2025,대전,승합,661,1150
2025,대전,화물,1917,3827
2025,대전,특수,35,98
2025,대전,계,16069,33184
2025,울산,승용,10037,18518
2025,울산,승합,369,765
2025,울산,화물,1529,2409
2025,울산,특수,56,96
2025,울산,계,11991,21788
2025,세종,승용,3822,14605
2025,세종,승합,178,384
2025,세종,화물,420,1015
2025,세종,특수,9,18
2025,세종,계,4429,16022
2025,경기,승용,114389,344691
2025,경기,승합,6843,14716
2025,경기,화물,17306,41395
2025,경기,특수,229,699
2025,경기,계,138767,401501
2025,충북,승용,18978,33117
2025,충북,승합,1092,1890
2025,충북,화물,4357,6851
2025,충북,특수,84,195
2025,충북,계,24511,42053
2025,충남,승용,27174,45785
2025,충남,승합,1413,2427
2025,충남,화물,6181,9436
2025,충남,특수,92,206
2025,충남,계,34860,57854
2025,전남,승용,21570,41042
2025,전남,승합,1310,2405
2025,전남,화물,6569,8885
2025,전남,특수,165,288
2025,전남,계,29614,52620
2025,경북,승용,32071,49704
2025,경북,승합,1645,2724
2025,경북,화물,8670,12412
2025,경북,특수,179,318
2025,경북,계,42565,65158
2025,경남,승용,36919,66401
2025,경남,승합,1848,3299
2025,경남,화물,7971,12394
2025,경남,특수,242,356
2025,경남,계,46980,82450
2025,제주,승용,7883,13264
2025,제주,승합,371,839
2025,제주,화물,2088,2930
2025,제주,특수,26,46
2025,제주,계,10368,17079
2025,강원,승용,18228,28362
2025,강원,승합,1051,1706
2025,강원,화물,4958,6770
2025,강원,특수,66,124
2025,강원,계,24303,36962
2025,전북,승용,21705,36636
2025,전북,승합,1293,2106
2025,전북,화물,5186,7600
2025,전북,특수,74,151
2025,전북,계,28258,46493
2025,총계,승용,451776,1033374
2025,총계,승합,24535,47497
2025,총계,화물,84800,153831
2025,총계,특수,1948,3849
2025,총계,계,563059,1238551
